State,Year,Percent Volunteered,Volunteered_Rank,Hours Volunteered per capita,Hours Volunteered_rank,Percent Attended a Public Meeting,Percent Attended a Public Meeting_rank,Percent Worked with Neighbors to Fix a Community Problem,Worked with Neighbors to Fix a Community Problem_rank,Percent Donated Money to a Charity,Donated Money to a Charity_rank,Percent Contacted or Visited a Public Official,Contacted or Visited a Public Official_rank,Percent Bought or boycotted a product ,Bought or boycotted a product_rank,Percent Belongs to a Community Group,Belongs to a community group_rank,Percent Belongs to a Civic Organization,Belongs to a Civic Organization_rank
Alabama,2011,23.4,40,21.11,43,6.8,47,6.9,42,55.4,19,10.5,40,7.4,49,17.5,13,8.1,28
Alaska,2011,30.4,13,33.57,4,18.3,2,19.2,2,59.6,7,19.3,6,16.3,11,21.6,2,16.9,1
Arizona,2011,23.8,37,22.33,39,7.6,42,8.8,30,50.6,37,11.3,36,9.1,40,12.8,42,7.2,33
Arkansas,2011,21.9,44,20.23,47,6.3,49,6.2,49,41.2,50,11.4,35,9.7,36,11.8,48,7.9,29
California,2011,23.8,37,26.45,26,8.4,34,8.3,33,48.5,41,10.3,42,12.5,24,15.8,22,6,46
Colorado,2011,31.1,11,28.50,15,12.7,15,11.3,15,59.3,8,15.8,16,18.6,5,17.9,11,9.6,14
Connecticut,2011,27,21,23.18,34,10.2,24,9.4,25,59.3,8,15.5,18,16.9,10,16.2,21,9.1,19
DC,2011,25.8,25,26.88,25,15.1,8,14.7,7,46.3,44,19.7,5,19,4,19.2,6,7.4,31
Delaware,2011,24.7,32,23.46,33,14.2,10,13.1,9,55.7,17,12.3,29,10.8,30,18.4,8,8.5,24
Florida,2011,21.7,45,24.31,30,6.6,48,6,50,45,47,9.8,46,10.4,31,12.9,41,6.5,41
Georgia,2011,24.4,34,30.25,11,8.1,36,8.4,32,49.2,40,11.7,33,10.1,33,18.3,9,6.3,42
Hawaii,2011,20.1,49,22.38,38,7.4,43,6.8,45,54.7,24,6.9,51,8.3,46,10.9,50,6.1,44
Idaho,2011,37.4,2,44.03,2,15.3,6,15.3,5,59.8,6,14.8,22,14.8,15,16.7,17,9,21
Illinois,2011,25.9,24,28.18,17,8.9,31,6.9,42,53.5,29,13.4,26,11.7,27,14.8,29,7.7,30
Indiana,2011,25.2,27,22.21,40,7.2,45,6.6,46,47.7,42,11.9,32,8,47,13,38,7.4,31
Iowa,2011,36.4,4,32.63,6,13.3,12,11.5,14,55.8,16,15,21,13,22,15.1,27,12.2,6
Kansas,2011,34.3,7,31.76,8,11.2,21,9.8,22,59.2,10,17.2,11,14.2,16,18,10,11,8
Kentucky,2011,23.2,41,19.07,51,6.1,50,6.5,47,49.6,39,10.1,45,7.4,49,12.5,44,7.2,33
Louisiana,2011,16.5,51,19.79,49,9.1,28,7.6,39,42.3,49,7.6,50,7.7,48,13.2,36,4.7,51
Maine,2011,31,12,30.04,12,16.4,3,13.4,8,53.9,27,20.9,3,18.5,6,15.2,25,9.6,14
Maryland,2011,26.3,23,31.01,9,9.4,26,8.3,33,56.1,15,13.6,24,12.7,23,21.2,3,8.5,24
Massachusetts,2011,23.8,37,21.01,44,12.2,18,10.9,17,53.6,28,15.7,17,13.8,19,14.9,28,6.7,38
Michigan,2011,25,28,23.77,31,9.6,25,8.3,33,50.8,36,12.1,31,15,14,13,38,6.3,42
Minnesota,2011,36.5,3,32.31,7,13.3,12,11.9,13,64.2,1,17.4,9,17.3,8,16.7,17,12.7,4
Mississippi,2011,24.1,35,28.40,16,9.3,27,9.4,25,50.9,35,12.9,27,8.7,43,22.4,1,8.5,24
Missouri,2011,29.8,14,25.74,28,7.3,44,10,20,54,25,13.5,25,12.2,26,17,16,9.9,13
Montana,2011,28,19,27.98,18,15.3,6,13.1,9,51.2,34,19.8,4,18,7,11.4,49,10.5,11
Nebraska,2011,35.4,5,26.95,24,11.4,20,9.7,23,60.8,3,17.3,10,13.4,21,14.5,30,10.7,10
Nevada,2011,20.7,48,22.11,41,8,38,6.4,48,45.7,45,11.3,36,13.6,20,12,47,6.1,44
New Hampshire,2011,28.3,17,25.85,27,16.1,4,10.4,18,56.8,12,16.5,13,15.2,13,13.3,35,9.2,18
New Jersey,2011,21.2,46,20.16,48,8.3,35,7.2,41,56.2,14,10.5,40,9,41,13.7,34,6.6,40
New Mexico,2011,24.8,30,30.77,10,10.6,23,10.2,19,51.7,32,16.8,12,14,18,19.5,5,5.5,49
New York,2011,19.7,50,21.29,42,8.5,32,7.9,36,44.4,48,10.3,42,10.4,31,12.8,42,5.8,48
North Carolina,2011,24.5,33,23.74,32,8.5,32,9.2,28,52.6,31,10.2,44,10,34,15.8,22,6.8,36
North Dakota,2011,29.3,16,20.64,45,14.8,9,16,4,54.8,22,16.1,14,9.7,36,12.4,45,13.5,2
Ohio,2011,25.8,25,22.69,35,7.2,45,7.6,39,45.6,46,11.1,38,9.5,38,13.2,36,8.9,22
Oklahoma,2011,27.9,20,24.59,29,7.9,39,7.8,38,50.1,38,12.3,29,10,34,15.6,24,8.7,23
Oregon,2011,34.3,7,35.83,3,12.9,14,13.1,9,59.9,5,16.1,14,21.8,2,17.3,14,11,8
Pennsylvania,2011,24.9,29,27.13,22,9,29,9.9,21,53.4,30,12.6,28,11.3,28,13,38,9.1,19
Rhode Island,2011,23.9,36,20.61,46,11.9,19,9.4,25,55.5,18,14.5,23,12.4,25,10.8,51,7.2,33
South Carolina,2011,24.8,30,22.59,36,7.8,40,8.8,30,55.1,21,9.4,47,8.6,44,17.1,15,6.8,36
South Dakota,2011,34.7,6,27.72,20,15.8,5,15.3,5,54.8,22,15.1,20,9.5,38,14.5,30,12.4,5
Tennessee,2011,22.3,43,19.13,50,8.1,36,7.9,36,56.3,13,10.7,39,11,29,17.8,12,5.3,50
Texas,2011,22.7,42,22.43,37,7.8,40,6.9,42,46.6,43,8.8,49,8.8,42,16.7,17,5.9,47
Utah,2011,39.7,1,51.46,1,13.4,11,17.9,3,63.8,2,17.8,8,14.2,16,19,7,8.5,24
Vermont,2011,29.8,14,29.45,13,20,1,20.5,1,51.5,33,22.1,1,23.5,1,16.4,20,13.1,3
Virginia,2011,27,21,28.80,14,9,29,8.9,29,54,25,9.4,47,8.4,45,15.2,25,6.7,38
Washington,2011,31.9,10,33.50,5,11.1,22,12.2,12,59.1,11,15.4,19,21.2,3,20.9,4,9.4,16
West Virginia,2011,21,47,27.10,23,5.1,51,4.1,51,41.2,50,11.5,34,7.4,49,12.3,46,9.4,16
Wisconsin,2011,32.3,9,27.36,21,12.4,17,9.7,23,60,4,18.6,7,17.2,9,14.5,30,10.5,11
Wyoming,2011,28.3,17,27.85,19,12.6,16,11.3,15,55.2,20,21.2,2,15.8,12,14,33,11.6,7
National Average,2011,25.1,,22.08,,9,,8.6,,51.6,,11.9,,11.7,,15.3,,7.5,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
